,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5701,1876,historical,NorESM2-MM,0.2009723432051313,0.1903255910168001
5702,1877,historical,NorESM2-MM,0.12107325783307368,0.11376733893814299
5703,1878,historical,NorESM2-MM,0.0710209714523272,0.07597795897654
5704,1879,historical,NorESM2-MM,0.13599522415184878,0.1475671214967202
5705,1880,historical,NorESM2-MM,0.11312630410112337,0.1257972357768944
5706,1881,historical,NorESM2-MM,0.05314984512207095,0.07047997574535583
5707,1882,historical,NorESM2-MM,-0.04814206047819532,-0.026522868797342447
5708,1883,historical,NorESM2-MM,-0.16110218244259342,-0.14080672214292667
5709,1884,historical,NorESM2-MM,-0.28276135005778913,-0.2649149215320487
5710,1885,historical,NorESM2-MM,-0.35248210453432555,-0.3278129972706767
5711,1886,historical,NorESM2-MM,-0.31259496535148135,-0.29222870887206176
5712,1887,historical,NorESM2-MM,-0.19860118123022247,-0.18033129151452928
5713,1888,historical,NorESM2-MM,-0.12075806187257165,-0.10723018133046905
5714,1889,historical,NorESM2-MM,-0.11572910421311577,-0.08871549959460769
5715,1890,historical,NorESM2-MM,-0.10053579200221612,-0.08136391250606301
5716,1891,historical,NorESM2-MM,-0.14510645529738553,-0.12042534041949833
5717,1892,historical,NorESM2-MM,-0.1622684727426025,-0.14550075837087412
5718,1893,historical,NorESM2-MM,-0.1506629672726077,-0.13045210999842122
5719,1894,historical,NorESM2-MM,-0.11304432227815302,-0.09450535697748531
5720,1895,historical,NorESM2-MM,-0.09429804426861377,-0.07465145088397522
5721,1896,historical,NorESM2-MM,-0.037217210228517275,-0.024478177737531682
5722,1897,historical,NorESM2-MM,0.012505664276602407,0.029039861928859344
5723,1898,historical,NorESM2-MM,0.06463233148186477,0.07998582838896055
5724,1899,historical,NorESM2-MM,0.08276239710666654,0.09085087340374877
5725,1900,historical,NorESM2-MM,0.06770435608034106,0.06748605828987012
5726,1901,historical,NorESM2-MM,0.044162942454448045,0.04102557204610944
5727,1902,historical,NorESM2-MM,-0.0025751487708079585,-0.011412644614792236
5728,1903,historical,NorESM2-MM,-0.06791826233607506,-0.0785267756311499
5729,1904,historical,NorESM2-MM,-0.11202174718128674,-0.12312294075092456
5730,1905,historical,NorESM2-MM,-0.1629448263575751,-0.16127518754294048
5731,1906,historical,NorESM2-MM,-0.19424290683706075,-0.1809075029186794
5732,1907,historical,NorESM2-MM,-0.2158972653250387,-0.19376202149035254
5733,1908,historical,NorESM2-MM,-0.202768085329671,-0.17694799747017023
5734,1909,historical,NorESM2-MM,-0.13419952609619124,-0.09603874442471193
5735,1910,historical,NorESM2-MM,-0.06260384163355479,-0.024027861752181953
5736,1911,historical,NorESM2-MM,-0.0051642902456506545,0.027991629417433515
5737,1912,historical,NorESM2-MM,0.05981337328219671,0.09178270406984194
5738,1913,historical,NorESM2-MM,0.09222790487902034,0.11257537907356249
5739,1914,historical,NorESM2-MM,0.0379224412691253,0.0472084606927133
5740,1915,historical,NorESM2-MM,0.02867976334030086,0.02818063978614107
