,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
115,0,0.0643194659346651,0.0296825536398065,2.1669114697870167,2015_2065,ACCESS-ESM1-5,ssp245,r2i1p1f1,all,2052.644,2048.495,4.148999999999887
116,0,0.0880085947325313,0.0312546766325396,2.8158536326337966,2015_2065,ACCESS-ESM1-5,ssp245,r1i1p1f1,all,2044.849,2041.829,3.019999999999982
117,0,0.0531860062216276,0.0292928464435779,1.8156653476496791,2015_2065,CNRM-ESM2-1,ssp245,r5i1p1f2,all,2045.468,2041.628,3.8400000000001455
118,0,0.0928244464578131,0.0377692991963839,2.457669282534641,2015_2065,CNRM-ESM2-1,ssp245,r4i1p1f2,all,2035.045,2031.606,3.439000000000078
119,0,0.1123821417031016,0.0367932360622291,3.054423957518372,2015_2065,CNRM-ESM2-1,ssp245,r3i1p1f2,all,2043.157,2041.009,2.147999999999911
120,0,0.0725645273096277,0.030240906363609,2.3995486919978584,2015_2065,CNRM-ESM2-1,ssp245,r2i1p1f2,all,2046.201,2043.738,2.4629999999999654
121,0,0.0277288054959732,0.0253317231955171,1.0946276841079792,2015_2065,CNRM-ESM2-1,ssp245,r1i1p1f2,all,2049.798,2047.654,2.143999999999778
122,0,0.0780524701168655,0.0355867281773654,2.1933027877092077,2015_2065,CNRM-CM6-1-HR,ssp245,r1i1p1f2,all,2050.527,2046.817,3.7100000000000364
123,0,0.0157025484343258,0.048555339457094,0.3233948852978664,2015_2065,CNRM-CM6-1,ssp245,r9i1p1f2,all,,,
124,0,0.4684429536733871,0.0489853290779267,9.562923481195348,2015_2065,CNRM-CM6-1,ssp245,r8i1p1f2,all,,,
125,0,0.1069136053234729,0.0151602211176428,7.052245774901742,2015_2065,CNRM-CM6-1,ssp245,r7i1p1f2,all,,,
126,0,0.0416904219981981,0.029042000613301,1.4355216967767783,2015_2065,CNRM-CM6-1,ssp245,r6i1p1f2,all,2053.084,2049.249,3.8350000000000364
127,0,0.0579576766186451,0.0275205924709825,2.105974886978004,2015_2065,CNRM-CM6-1,ssp245,r5i1p1f2,all,2053.562,2049.16,4.402000000000044
128,0,0.0766907414951457,0.031898311449275,2.4042257414502948,2015_2065,CNRM-CM6-1,ssp245,r4i1p1f2,all,2042.45,2039.371,3.078999999999951
129,0,0.0419464039812236,0.027437316669362,1.5288085379013467,2015_2065,CNRM-CM6-1,ssp245,r3i1p1f2,all,2057.473,2052.472,5.000999999999749
130,0,0.0801100502529275,0.0318035747850498,2.518900808929996,2015_2065,CNRM-CM6-1,ssp245,r2i1p1f2,all,2048.515,2040.248,8.266999999999825
